s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 1.13001E+002, 2.52988E+001, 2.58837E+001, 3.40245E+001, 2.66420E+001, 2.50116E+001, 2.51490E+001, 2.57198E+001, 1.80014E-002, 2.04820E-001, 1.53492E+002
 1.14001E+002, 2.53007E+001, 2.58844E+001, 3.40731E+001, 2.66012E+001, 2.50116E+001, 2.51309E+001, 2.56915E+001, 1.80014E-002, 2.04802E-001, 1.54029E+002
 1.15002E+002, 2.53026E+001, 2.58864E+001, 3.41344E+001, 2.66410E+001, 2.50115E+001, 2.51131E+001, 2.55515E+001, 1.80015E-002, 2.04787E-001, 1.54565E+002
 1.16003E+002, 2.53046E+001, 2.58901E+001, 3.41669E+001, 2.65891E+001, 2.50115E+001, 2.51038E+001, 2.53325E+001, 1.80014E-002, 2.04774E-001, 1.55089E+002
 1.17003E+002, 2.53066E+001, 2.58945E+001, 3.42126E+001, 2.65056E+001, 2.50115E+001, 2.51122E+001, 2.52539E+001, 1.80014E-002, 2.04760E-001, 1.55600E+002
 1.18000E+002, 2.53085E+001, 2.58984E+001, 3.42940E+001, 2.65443E+001, 2.50116E+001, 2.51708E+001, 2.52861E+001, 1.80014E-002, 2.04746E-001, 1.56092E+002
 1.19001E+002, 2.53102E+001, 2.59009E+001, 3.43746E+001, 2.65379E+001, 2.50116E+001, 2.53608E+001, 2.53272E+001, 1.80014E-002, 2.04730E-001, 1.56577E+002
 1.20001E+002, 2.53115E+001, 2.59022E+001, 3.44278E+001, 2.64985E+001, 2.50117E+001, 2.53899E+001, 2.53328E+001, 1.80014E-002, 2.04713E-001, 1.57068E+002
 1.21002E+002, 2.53126E+001, 2.59033E+001, 3.44719E+001, 2.64978E+001, 2.50117E+001, 2.53147E+001, 2.53858E+001, 1.80014E-002, 2.04694E-001, 1.57566E+002
 1.22003E+002, 2.53134E+001, 2.59049E+001, 3.45297E+001, 2.65093E+001, 2.50117E+001, 2.52479E+001, 2.54636E+001, 1.80014E-002, 2.04675E-001, 1.58068E+002
 1.23003E+002, 2.53143E+001, 2.59076E+001, 3.45518E+001, 2.65075E+001, 2.50118E+001, 2.51967E+001, 2.55984E+001, 1.80014E-002, 2.04656E-001, 1.58578E+002
 1.24000E+002, 2.53153E+001, 2.59105E+001, 3.45667E+001, 2.65047E+001, 2.50119E+001, 2.51584E+001, 2.57496E+001, 1.80014E-002, 2.04637E-001, 1.59091E+002
 1.25001E+002, 2.53164E+001, 2.59131E+001, 3.45827E+001, 2.65016E+001, 2.50119E+001, 2.51299E+001, 2.58410E+001, 1.80014E-002, 2.04617E-001, 1.59601E+002
 1.26002E+002, 2.53177E+001, 2.59149E+001, 3.45943E+001, 2.65069E+001, 2.50118E+001, 2.51081E+001, 2.58679E+001, 1.80014E-002, 2.04597E-001, 1.60108E+002
 1.27002E+002, 2.53189E+001, 2.59161E+001, 3.46095E+001, 2.65034E+001, 2.50116E+001, 2.50910E+001, 2.58716E+001, 1.80014E-002, 2.04574E-001, 1.60612E+002
 1.28003E+002, 2.53199E+001, 2.59173E+001, 3.46233E+001, 2.65089E+001, 2.50115E+001, 2.50789E+001, 2.58818E+001, 1.80014E-002, 2.04551E-001, 1.61113E+002
 1.29004E+002, 2.53207E+001, 2.59187E+001, 3.46441E+001, 2.65174E+001, 2.50113E+001, 2.50697E+001, 2.58407E+001, 1.80014E-002, 2.04527E-001, 1.61612E+002
 1.30001E+002, 2.53212E+001, 2.59205E+001, 3.46710E+001, 2.65272E+001, 2.50112E+001, 2.50613E+001, 2.57991E+001, 1.80014E-002, 2.04503E-001, 1.62107E+002
 1.31001E+002, 2.53217E+001, 2.59225E+001, 3.47031E+001, 2.65357E+001, 2.50111E+001, 2.50584E+001, 2.58347E+001, 1.80014E-002, 2.04479E-001, 1.62598E+002
 1.32002E+002, 2.53222E+001, 2.59250E+001, 3.47280E+001, 2.65408E+001, 2.50111E+001, 2.50640E+001, 2.57691E+001, 1.80015E-002, 2.04456E-001, 1.63091E+002
 1.33003E+002, 2.53229E+001, 2.59279E+001, 3.47393E+001, 2.65368E+001, 2.50111E+001, 2.50746E+001, 2.57471E+001, 1.80014E-002, 2.04435E-001, 1.63587E+002
 1.34003E+002, 2.53238E+001, 2.59310E+001, 3.47527E+001, 2.65287E+001, 2.50112E+001, 2.50862E+001, 2.57794E+001, 1.80014E-002, 2.04414E-001, 1.64084E+002
 1.35000E+002, 2.53249E+001, 2.59336E+001, 3.47562E+001, 2.65268E+001, 2.50112E+001, 2.50939E+001, 2.57722E+001, 1.80014E-002, 2.04395E-001, 1.64581E+002
